room_id,survey_id,host_id,room_type,city,reviews,overall_satisfaction,accommodates,bedrooms,price
5716399,1498,2392127,Entire home/apt,Asheville,112,4.5,4,1,115
15510852,1498,46001530,Entire home/apt,Asheville,54,5,2,1,115
3889212,1498,1482216,Entire home/apt,Asheville,45,4.5,2,1,100
2014453,1498,6510905,Entire home/apt,Asheville,315,5,2,1,105
5131525,1498,940569,Entire home/apt,Asheville,56,5,2,1,115
13093505,1498,23092470,Entire home/apt,Asheville,98,5,4,1,111
18784621,1498,46001530,Entire home/apt,Asheville,14,4.5,2,1,105
17240001,1498,31330448,Entire home/apt,Asheville,6,5,2,1,109
18161838,1498,97256862,Entire home/apt,Asheville,6,5,4,1,110
16532936,1498,28704049,Entire home/apt,Asheville,4,4.5,5,3,120
4662490,1498,18085000,Entire home/apt,Asheville,12,5,3,2,109
4362574,1498,21655755,Entire home/apt,Asheville,29,5,2,1,115
18283301,1498,23661387,Entire home/apt,Asheville,3,5,2,1,120
13093999,1498,11307909,Entire home/apt,Asheville,16,5,2,0,109
18087603,1498,16529656,Entire home/apt,Asheville,5,5,2,0,100
14168714,1498,62550138,Entire home/apt,Asheville,34,5,2,1,110
3868910,1498,19977236,Entire home/apt,Asheville,161,4.5,3,1,120
9234967,1498,48002359,Entire home/apt,Asheville,61,5,4,1,110
15091813,1498,95528976,Entire home/apt,Asheville,23,5,2,1,115
6177422,1498,32045149,Entire home/apt,Asheville,115,5,4,2,115
7693393,1498,40309465,Entire home/apt,Asheville,119,5,4,2,100
6823225,1498,7986791,Entire home/apt,Asheville,43,5,2,1,110
7947839,1498,41909545,Entire home/apt,Asheville,203,5,2,1,116
6325103,1498,940569,Entire home/apt,Asheville,60,5,2,1,115
326772,1498,1178227,Entire home/apt,Asheville,49,5,4,1,100
16722395,1498,58608311,Entire home/apt,Asheville,29,5,5,2,110
8443279,1498,18376463,Entire home/apt,Asheville,31,5,2,1,114
4241484,1498,352405,Entire home/apt,Asheville,75,5,5,2,105
